facebook.com,69.171.230.5
youtube.com,74.125.239.105
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,208.80.154.224
msn.com,23.101.196.141
baidu.com,111.13.101.208
blogspot.com,216.58.192.41
microsoft.com,134.170.185.46
qq.com,125.39.240.113
taobao.com,110.75.115.70
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.198
mozilla.com,63.245.213.24
youku.com,101.227.10.19
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
amazon.com,176.32.98.166
wordpress.com,192.0.78.17
tudou.com,123.126.98.150
yahoo.co.jp,182.22.59.229
sohu.com,123.125.116.19
apple.com,17.172.224.47
hao123.com,123.125.114.224
windows.com,191.235.218.166
ebay.com,66.211.160.86
pps.tv,58.83.190.154
xunlei.com,125.39.150.14
56.com,180.153.21.176
fc2.com,50.18.211.49
paypal.com,66.211.169.3
sogou.com,106.120.188.48
tmall.com,110.75.114.89
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.25.85
ifeng.com,210.51.19.61
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.246.103
yandex.ru,5.255.255.55
myspace.com,63.135.90.70
mail.ru,94.100.180.202
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,118.184.184.70
orkut.com,74.125.28.86
skype.com,91.190.218.46
ameblo.jp,180.233.142.129
naver.com,202.179.177.21
flickr.com,69.147.76.173
4shared.com,204.155.149.38
amazon.co.jp,54.240.250.0
linkedin.com,108.174.2.129
dailymotion.com,195.8.215.137
imdb.com,72.21.210.29
aol.com,207.200.74.38
hotmail.com,65.55.77.28
360.cn,106.120.167.66
craigslist.org,208.82.238.129
weather.com,96.8.83.132
soku.com,123.126.99.35
alibaba.com,198.11.132.23
renren.com,220.181.181.222
livedoor.jp,125.6.149.67
blogger.com,216.58.192.9
vkontakte.ru,95.213.4.247
answers.com,67.196.156.65
rapidshare.com,10.11.12.13
daum.net,114.108.157.19
7k7k.com,115.182.59.33
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.12
ehow.com,23.227.11.12
seesaa.net,59.106.28.139
paipai.com,163.177.83.173
alipay.com,110.76.20.33
softonic.com,46.28.209.20
nifty.com,222.158.213.148
imageshack.us,208.94.0.47
cnn.com,157.166.226.26
tianya.cn,124.225.65.154
mywebsearch.com,74.113.237.48
zynga.com,54.148.147.56
partypoker.com,83.231.239.70
hp.com,15.240.60.238
walmart.com,161.170.244.20
kugou.com,14.18.236.182
ebay.de,66.135.211.132
youdao.com,61.135.218.26
hotfile.com,199.184.144.150
qiyi.com,101.227.22.162
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.155.58
jp.msn.com,23.101.196.141
